route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
1,1,1,L1 Botun – Masline,,3,,4099E5,,,,
2,1,1B,L1B Kakaricka – Zabjelo,,3,,4099E5,,,,
3,1,3,L3 Tološi – Trg Golootočkih žrtava,,3,,4099E5,,,,
3a,1,3A,L3A Daljam – KBC,,3,,4099E5,,,,
4,1,4,L4 Konik – Tološi,,3,,4099E5,,,,
5,1,5,L5 Konik – Donja Gorica,,3,,4099E5,,,,
6,1,6,L6 Stara Zlatica - City kvart,,3,,4099E5,,,,
6a,1,6A,L6A Trg Golootačkih žrtava – Stara Zlatica,,3,,4099E5,,,,
8,1,8|53,L8|53 Stari Aerodrom – Beri,,3,,4099E5,,,,
9,1,9,L9 Zabjelo – Zagorič,,3,,4099E5,,,,
10,1,10,L10 Zelenika – Doljani,,3,,4099E5,,,,
11,1,11,L11 Trg Golootočkih žrtava - Manastir Morača,,3,,4099E5,,,,
12,1,12,L12 Trg Golootočkih žrtava – Bioče,,3,,4099E5,,,,
13,1,13,L13 Trg Golootočkih žrtava – Veruša,,3,,4099E5,,,,
15,1,15|7,L15|7 Stari aerodrom – Mareza,,3,,4099E5,,,,
16,1,16,L16 Trg Golootačkih žrtava – Dahna,,3,,4099E5,,,,
18,1,18,L18 Zabjelo – Blok VI,,3,,4099E5,,,,
19,1,19,L19 Konik – Blok VI,,3,,4099E5,,,,
20,1,20,L20 Rogami – Kokoti,,3,,4099E5,,,,
21,1,21,L21 Zabjelo – Zlatica,,3,,4099E5,,,,
23,1,23,L23 Trg Golootočkih žrtava - Spuž,,3,,4099E5,,,,
30,1,30,L30 Trg Golootočkih žrtava – Kuće Rakića,,3,,4099E5,,,,
38,1,38,L38 Crveni krst - Pričelje,,3,,4099E5,,,,
51,1,51|52,L51|52 Trg Golootočkih žrtava – Progonovići,,3,,4099E5,,,,
54,1,54B,L54B Berska ulica – Trg Golootočkih žrtava,,3,,4099E5,,,,
55,1,55,L55 Trg Golootačkih žrtava – Grbavci,,3,,4099E5,,,,
62,1,62,L62 Trg Golootačkih žrtava – Kuči,,3,,4099E5,,,,
